Loading raw data...
  Raw videos: 23865
  After dedup: 23865 unique videos

=== LLM classification (backlash vs neutral) ===
  Using model: anthropic/claude-sonnet-4
  Keys: 7, workers: 21 (3 per key)
  Videos to classify: 23865
  Pending: 23865 (skipping 0 already classified)
    [9450/23865] 14.5/s | YES: 4869 NO: 4581 | errors: 0 | ETA: 16.6m
    [9500/23865] 14.5/s | YES: 4904 NO: 4596 | errors: 0 | ETA: 16.6m
    [9550/23865] 14.5/s | YES: 4929 NO: 4621 | errors: 0 | ETA: 16.5m
    [9600/23865] 14.5/s | YES: 4967 NO: 4633 | errors: 0 | ETA: 16.4m
    [9650/23865] 14.5/s | YES: 5008 NO: 4642 | errors: 0 | ETA: 16.4m
    [9700/23865] 14.5/s | YES: 5047 NO: 4653 | errors: 0 | ETA: 16.3m
    [9750/23865] 14.5/s | YES: 5088 NO: 4662 | errors: 0 | ETA: 16.3m
    [9800/23865] 14.5/s | YES: 5132 NO: 4668 | errors: 0 | ETA: 16.2m
    [9850/23865] 14.5/s | YES: 5175 NO: 4675 | errors: 0 | ETA: 16.2m
    [9900/23865] 14.5/s | YES: 5218 NO: 4682 | errors: 0 | ETA: 16.1m
    [9950/23865] 14.5/s | YES: 5260 NO: 4690 | errors: 0 | ETA: 16.0m
    [10000/23865] 14.5/s | YES: 5306 NO: 4694 | errors: 0 | ETA: 16.0m
    [10050/23865] 14.5/s | YES: 5346 NO: 4704 | errors: 0 | ETA: 15.9m
    [10100/23865] 14.5/s | YES: 5378 NO: 4722 | errors: 0 | ETA: 15.9m
    [10150/23865] 14.5/s | YES: 5405 NO: 4745 | errors: 0 | ETA: 15.8m
    [10200/23865] 14.5/s | YES: 5432 NO: 4768 | errors: 0 | ETA: 15.8m
    [10250/23865] 14.5/s | YES: 5454 NO: 4796 | errors: 0 | ETA: 15.7m
    [10300/23865] 14.5/s | YES: 5478 NO: 4822 | errors: 0 | ETA: 15.6m
    [10350/23865] 14.5/s | YES: 5501 NO: 4849 | errors: 0 | ETA: 15.6m
    [10400/23865] 14.5/s | YES: 5517 NO: 4883 | errors: 0 | ETA: 15.5m
    [10450/23865] 14.5/s | YES: 5531 NO: 4919 | errors: 0 | ETA: 15.4m
    [10500/23865] 14.5/s | YES: 5542 NO: 4958 | errors: 0 | ETA: 15.4m
    [10550/23865] 14.5/s | YES: 5553 NO: 4997 | errors: 0 | ETA: 15.3m
    [10600/23865] 14.5/s | YES: 5559 NO: 5041 | errors: 0 | ETA: 15.3m
    [10650/23865] 14.5/s | YES: 5564 NO: 5086 | errors: 0 | ETA: 15.2m
    [10700/23865] 14.4/s | YES: 5579 NO: 5121 | errors: 0 | ETA: 15.2m
    [10750/23865] 14.4/s | YES: 5586 NO: 5164 | errors: 0 | ETA: 15.1m
    [10800/23865] 14.4/s | YES: 5617 NO: 5183 | errors: 0 | ETA: 15.1m
    [10850/23865] 14.4/s | YES: 5643 NO: 5207 | errors: 0 | ETA: 15.0m
    [10900/23865] 14.5/s | YES: 5671 NO: 5229 | errors: 0 | ETA: 14.9m
    [10950/23865] 14.5/s | YES: 5703 NO: 5247 | errors: 0 | ETA: 14.9m
    [11000/23865] 14.5/s | YES: 5736 NO: 5264 | errors: 0 | ETA: 14.8m
    [11050/23865] 14.5/s | YES: 5765 NO: 5285 | errors: 0 | ETA: 14.8m
    [11100/23865] 14.5/s | YES: 5793 NO: 5307 | errors: 0 | ETA: 14.7m
    [11150/23865] 14.5/s | YES: 5810 NO: 5340 | errors: 0 | ETA: 14.6m
    [11200/23865] 14.5/s | YES: 5820 NO: 5380 | errors: 0 | ETA: 14.6m
    [11250/23865] 14.5/s | YES: 5838 NO: 5412 | errors: 0 | ETA: 14.5m
    [11300/23865] 14.5/s | YES: 5864 NO: 5436 | errors: 0 | ETA: 14.5m
    [11350/23865] 14.5/s | YES: 5885 NO: 5465 | errors: 0 | ETA: 14.4m
    [11400/23865] 14.5/s | YES: 5902 NO: 5498 | errors: 0 | ETA: 14.4m
    [11450/23865] 14.5/s | YES: 5917 NO: 5533 | errors: 0 | ETA: 14.3m
    [11500/23865] 14.5/s | YES: 5938 NO: 5562 | errors: 0 | ETA: 14.2m
    [11550/23865] 14.5/s | YES: 5955 NO: 5595 | errors: 0 | ETA: 14.2m
    [11600/23865] 14.5/s | YES: 5979 NO: 5621 | errors: 0 | ETA: 14.1m
    [11650/23865] 14.5/s | YES: 6011 NO: 5639 | errors: 0 | ETA: 14.1m
    [11700/23865] 14.5/s | YES: 6040 NO: 5660 | errors: 0 | ETA: 14.0m
    [11750/23865] 14.5/s | YES: 6074 NO: 5676 | errors: 0 | ETA: 13.9m
    [11800/23865] 14.5/s | YES: 6108 NO: 5692 | errors: 0 | ETA: 13.9m
    [11850/23865] 14.5/s | YES: 6142 NO: 5708 | errors: 0 | ETA: 13.8m
    [11900/23865] 14.5/s | YES: 6182 NO: 5718 | errors: 0 | ETA: 13.8m
    [11950/23865] 14.5/s | YES: 6210 NO: 5740 | errors: 0 | ETA: 13.7m
    [12000/23865] 14.5/s | YES: 6242 NO: 5758 | errors: 0 | ETA: 13.7m
    [12050/23865] 14.5/s | YES: 6270 NO: 5780 | errors: 0 | ETA: 13.6m
    [12100/23865] 14.5/s | YES: 6298 NO: 5802 | errors: 0 | ETA: 13.5m
    [12150/23865] 14.5/s | YES: 6324 NO: 5826 | errors: 0 | ETA: 13.5m
    [12200/23865] 14.5/s | YES: 6360 NO: 5840 | errors: 0 | ETA: 13.4m
    [12250/23865] 14.5/s | YES: 6392 NO: 5858 | errors: 0 | ETA: 13.3m
    [12300/23865] 14.5/s | YES: 6417 NO: 5883 | errors: 0 | ETA: 13.3m
    [12350/23865] 14.5/s | YES: 6443 NO: 5907 | errors: 0 | ETA: 13.2m
    [12400/23865] 14.5/s | YES: 6467 NO: 5933 | errors: 0 | ETA: 13.2m
    [12450/23865] 14.5/s | YES: 6473 NO: 5977 | errors: 0 | ETA: 13.1m
    [12500/23865] 14.5/s | YES: 6473 NO: 6027 | errors: 0 | ETA: 13.1m
    [12550/23865] 14.5/s | YES: 6479 NO: 6071 | errors: 0 | ETA: 13.0m
    [12600/23865] 14.5/s | YES: 6482 NO: 6118 | errors: 0 | ETA: 12.9m
    [12650/23865] 14.5/s | YES: 6485 NO: 6165 | errors: 0 | ETA: 12.9m
    [12700/23865] 14.5/s | YES: 6490 NO: 6210 | errors: 0 | ETA: 12.8m
    [12750/23865] 14.5/s | YES: 6494 NO: 6256 | errors: 0 | ETA: 12.8m
    [12800/23865] 14.5/s | YES: 6501 NO: 6299 | errors: 0 | ETA: 12.7m
    [12850/23865] 14.5/s | YES: 6506 NO: 6344 | errors: 0 | ETA: 12.6m
    [12900/23865] 14.5/s | YES: 6509 NO: 6391 | errors: 0 | ETA: 12.6m
    [12950/23865] 14.5/s | YES: 6512 NO: 6438 | errors: 0 | ETA: 12.5m
    [13000/23865] 14.5/s | YES: 6514 NO: 6486 | errors: 0 | ETA: 12.5m
    [13050/23865] 14.5/s | YES: 6518 NO: 6532 | errors: 0 | ETA: 12.4m
    [13100/23865] 14.5/s | YES: 6523 NO: 6577 | errors: 0 | ETA: 12.4m
    [13150/23865] 14.5/s | YES: 6524 NO: 6626 | errors: 0 | ETA: 12.3m
    [13200/23865] 14.5/s | YES: 6543 NO: 6657 | errors: 0 | ETA: 12.2m
    [13250/23865] 14.5/s | YES: 6564 NO: 6686 | errors: 0 | ETA: 12.2m
    [13300/23865] 14.5/s | YES: 6591 NO: 6709 | errors: 0 | ETA: 12.1m
    [13350/23865] 14.5/s | YES: 6616 NO: 6734 | errors: 0 | ETA: 12.1m
    [13400/23865] 14.5/s | YES: 6643 NO: 6757 | errors: 0 | ETA: 12.0m
    [13450/23865] 14.5/s | YES: 6663 NO: 6787 | errors: 0 | ETA: 12.0m
    [13500/23865] 14.5/s | YES: 6680 NO: 6820 | errors: 0 | ETA: 11.9m
    [13550/23865] 14.5/s | YES: 6701 NO: 6849 | errors: 0 | ETA: 11.8m
    [13600/23865] 14.5/s | YES: 6722 NO: 6878 | errors: 0 | ETA: 11.8m
    [13650/23865] 14.5/s | YES: 6745 NO: 6905 | errors: 0 | ETA: 11.7m
    [13700/23865] 14.5/s | YES: 6770 NO: 6930 | errors: 0 | ETA: 11.7m
    [13750/23865] 14.5/s | YES: 6797 NO: 6953 | errors: 0 | ETA: 11.6m
    [13800/23865] 14.5/s | YES: 6816 NO: 6984 | errors: 0 | ETA: 11.5m
    [13850/23865] 14.5/s | YES: 6832 NO: 7018 | errors: 0 | ETA: 11.5m
    [13900/23865] 14.5/s | YES: 6850 NO: 7050 | errors: 0 | ETA: 11.4m
    [13950/23865] 14.5/s | YES: 6869 NO: 7081 | errors: 0 | ETA: 11.4m
