Loading raw data...
  Raw videos: 8108
  After dedup: 8108 unique videos

=== LLM classification (backlash vs neutral) ===
  Using model: anthropic/claude-sonnet-4
  Keys: 7, workers: 21 (3 per key)
  Videos to classify: 8108
  Pending: 8108 (skipping 0 already classified)
    [7100/8108] 8.5/s | YES: 3692 NO: 3384 | errors: 0 | ETA: 2.0m
    [7150/8108] 8.5/s | YES: 3733 NO: 3393 | errors: 0 | ETA: 1.9m
    [7200/8108] 8.4/s | YES: 3767 NO: 3408 | errors: 0 | ETA: 1.8m
    [7250/8108] 8.4/s | YES: 3804 NO: 3421 | errors: 0 | ETA: 1.7m
    [7300/8108] 8.4/s | YES: 3834 NO: 3439 | errors: 0 | ETA: 1.6m
    [7350/8108] 8.4/s | YES: 3851 NO: 3472 | errors: 0 | ETA: 1.5m
    [7400/8108] 8.4/s | YES: 3866 NO: 3506 | errors: 0 | ETA: 1.4m
    [7450/8108] 8.4/s | YES: 3881 NO: 3541 | errors: 0 | ETA: 1.3m
    [7500/8108] 8.4/s | YES: 3891 NO: 3581 | errors: 0 | ETA: 1.2m
    [7550/8108] 8.4/s | YES: 3901 NO: 3621 | errors: 0 | ETA: 1.1m
    [7600/8108] 8.3/s | YES: 3910 NO: 3662 | errors: 0 | ETA: 1.0m
    [7650/8108] 8.3/s | YES: 3926 NO: 3696 | errors: 0 | ETA: 0.9m
    [7700/8108] 8.3/s | YES: 3965 NO: 3707 | errors: 0 | ETA: 0.8m
    [7750/8108] 8.3/s | YES: 4009 NO: 3713 | errors: 0 | ETA: 0.7m
    [7800/8108] 8.3/s | YES: 4036 NO: 3733 | errors: 0 | ETA: 0.6m
    [7850/8108] 8.3/s | YES: 4067 NO: 3751 | errors: 0 | ETA: 0.5m
    [7900/8108] 8.3/s | YES: 4108 NO: 3760 | errors: 0 | ETA: 0.4m
    [7950/8108] 8.3/s | YES: 4147 NO: 3771 | errors: 0 | ETA: 0.3m
    [8000/8108] 8.3/s | YES: 4178 NO: 3790 | errors: 0 | ETA: 0.2m
    [8050/8108] 8.2/s | YES: 4217 NO: 3801 | errors: 0 | ETA: 0.1m
    [8100/8108] 8.2/s | YES: 4249 NO: 3819 | errors: 0 | ETA: 0.0m
    [8108/8108] 8.2/s | YES: 4253 NO: 3823 | errors: 0 | ETA: 0.0m

  Done in 16m 23s. API calls: 8108, errors: 0
    YES: 4253 (52.5%)
    NO: 3823 (47.2%)
    UNKNOWN: 32 (0.4%)

Saved 8108 videos to C:\Users\hello\AI-Backlash-Social-Media\tiktok\data\tiktok_ai_backlash_filtered.csv

=== FINAL SUMMARY ===
  BACKLASH (YES): 4253 videos, 1,627,951,030 views
  NOT BACKLASH (NO): 3823 videos, 2,586,857,362 views
